imdb_url,title,director,year,imdb_rating,genre_1,genre_2,runtime_hrs,runtime_min,budget,gross_worldwide,contributor_alias,dsst_section,contributor_rating,notes
https://www.imdb.com/title/tt0147800/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_10%2520thi,10 Things I Hate About You,Gil Junger,1999,7.3,romance,comedy,1,37,"30,000,000.00","53,686,594.00",dema,9:00:00 AM,9.5,Watched at school
https://www.imdb.com/title/tt0147800/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_10%2520things%2520i%2520ha,10 Things I Hate About You,Gil Junger,1999,7.3,romance,comedy,1,37,"30,000,000.00","53,686,594.00",Cooper,12:00:00 PM,8.5,
https://www.imdb.com/title/tt0166924/,Mulholland Drive,David Lynch,2001,7.9,mystery,drama,2,27,"15,000,000.00","20,289,986.00",fredner,9:00:00 AM,9.4,Watched at home
https://www.imdb.com/title/tt0198781/,"Monsters, Inc.",Pete Docter,2001,8.1,adventure,animation,1,32,"115,000,000.00","290,642,256.00",Frozone,12:00:00 PM,8.5,
https://www.imdb.com/title/tt0198781/?ref_=chttp_t_196,"Monsters, Inc.",Pete Doctor,2001,8.1,animation,adventure,1,32,"115,000,000.00","290,642,256.00",Damien,12:00:00 PM,9.2,
https://www.imdb.com/title/tt0198781/?ref_=tt_sims_tt_i_6,"Monsters, Inc.",Pete Doctor,2001,8.1,animation,adventure,1,32,"115,000,000.00","579,723,931.00",Jack ,9:00:00 AM,8,Watched at home
https://www.imdb.com/title/tt0203009/,Moulin Rouge!,Baz Luhrmann,2001,7.6,musical,romance,2,7,"50,000,000.00","184,935,252.00",Anna,10:30:00 AM,9.8,MY FAVORITE MOVIE
https://www.imdb.com/title/tt0245429/mediaviewer/rm4207852801/?ref_=tt_ov_i,Spirited Away ,Hayao Miyazaki,2001,9,anime,fantasy,2,4,"19,000,000.00","358,090,420.00",keyli,9:00:00 AM,9,
https://www.imdb.com/title/tt0250494/?ref_=tt_tpks_tt_t_8_pd_detail_2_pbr_ic,Legally Blonde,Robert Luketic,2001,6.5,romance,comedy,1,36,"18,000,000.00","141,778,188.00",Sumina,10:30:00 AM,9.5,Inspiring and funny
https://www.imdb.com/title/tt0253474/?ref_=tt_mv_close,The Pianist,Roman Polanski,2002,8.5,drama,documentary,2,30,"11,400,000","120,098,945.00",Keyli,9:00:00 AM,2,
https://www.imdb.com/title/tt0264464/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%2520catc,Catch Me If You Can,Steven Spielberg,2002,8.1,crime,drama,2,21,"52,000,000.00","352,114,312",qing,10:30:00 AM,9,
https://www.imdb.com/title/tt0266543/,Finding Nemo,Andrew Stanton,2003,8.2,animation,adventure,1,40,"94,000,000.00","941,637,960.00",Nemo,12:00:00 PM,9.5,
https://www.imdb.com/title/tt0266543/?ref_=nv_sr_srsg_1_tt_7_nm_1_in_0_q_finding%2520,Finding Nemo,Andrew Stanton,2003,8.2,animation,adventure,1,40,"94,000,000.00","941,637,960.00",gigi,9:00:00 AM,8.5,
https://www.imdb.com/title/tt0266543/?ref_=tt_sims_tt_i_4,Finding Nimo,Andrew Stanton,2003,8.2,animation,adventure,1,40,"94,000,000.00","941,637,960.00",Jack ,9:00:00 AM,8,Watched at home
https://www.imdb.com/title/tt0266697/?ref_=chttp_t_151,Kill Bill: Vol. 1,Quentin Tarantino,2003,8.2,action,crime,1,51,"30,000,000.00","180,908,413.00",Frank,10:30:00 AM,9,"Sweet movie, good for family night"
https://www.imdb.com/title/tt0281358/,A Walk to Remember,Adam Shankman,2002,7.3,drama,romance,1,41,"11,800,000.00","47,494,916.00",Sumina,10:30:00 AM,10,"Watched it when I was 13, best romance movie ever"
https://www.imdb.com/title/tt0317705/,The Incredibles,Brad Bird,2004,8,animation,action,1,55,"92,000,000.00","631,688,498.00",Frozone,12:00:00 PM,9.2,Where is my super suit?
https://www.imdb.com/title/tt0332379/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_school%2520,School of Rock,Richard Linklater,2003,7.2,comedy,music,1,49,"35,000,000.00","131,098,967.00",Abbott,12:00:00 PM,8.8,
https://www.imdb.com/title/tt0335266/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_lost%2520in%2520t,Lost In Translation,Sofia Coppola,2003,7.7,comedy,drama,1,42,"4,000,000.00","118,688,756.00",holden,9:00:00 AM,7,
https://www.imdb.com/title/tt0338013/,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8.3,romance,drama,1,48,"20,000,000.00","73,395,181.00",kayla,10:30:00 AM,9,
